"x","y","z","chr","coord","randX","randY","randZ"
20.713,-14.117,-5.7,"chr f",3000000,-12.102291551029367,6.820179525732357,13.39731720368114
20.536,-13.494,-4.919,"chr f",3100000,16.09920900236998,5.9789774314790165,0.19027332444752076
20.381,-13.234,-3.995,"chr f",3200000,-14.893635037789164,-4.806129544153514,17.043074019950097
19.55,-13.754,-3.969,"chr f",3300000,-1.7832806350702448,-16.821515060682408,19.67183520121334
18.399,-13.621,-3.998,"chr f",3400000,7.461122383401456,13.387101586882878,-10.820118517186032
18.431,-14.423,-4.812,"chr f",3500000,-12.25201658618933,-8.222905863257832,-19.225406476678437
19.112,-15.115,-4.435,"chr f",3600000,-2.4820438003258793,4.061584470452637,-0.3943249569219205
18.579,-15.369,-5.275,"chr f",3700000,-0.5930418414036431,-9.081081493958623,-17.680033572238038
17.809,-15.886,-4.364,"chr f",3800000,-3.7701875412609134,-9.748332400019804,14.892417051315988
18.124,-16.388,-4.726,"chr f",3900000,0.6798816385364788,-2.238828145604277,16.555622069666924
17.675,-16.75,-5.713,"chr f",4000000,-1.5367195877383288,-8.405767689210219,-3.508440356906352
16.968,-15.607,-5.221,"chr f",4100000,-13.91533453955224,-19.36762447125905,3.8760112804459723
16.619,-14.689,-4.819,"chr f",4200000,11.11942166628998,-18.06565769844341,-9.331658811721756
17.324,-14.668,-3.89,"chr f",4300000,-5.663353935815959,-17.55359541481471,-19.271597634859447
18.574,-15.32,-3.326,"chr f",4400000,-3.158928064803824,14.175450039465701,-17.835462763108904
19.503,-15.752,-3.837,"chr f",4500000,-11.840886199753138,-4.41901424762869,7.2304820747484975
19.439,-16.751,-4.312,"chr f",4600000,12.42829687083696,-0.640298213788526,-18.970308006149445
18.857,-17.064,-3.335,"chr f",4700000,17.77952857582192,-18.318875740508133,-11.137679102976179
18.886,-17.457,-3.533,"chr f",4800000,-5.780042342869818,-4.792824576015304,3.2220802783233466
19.516,-17.217,-3.515,"chr f",4900000,-6.609437409613651,-8.963746530372543,-3.7101239499966674
19.974,-17.395,-4.51,"chr f",5000000,-7.824432620782304,-2.9233692386469876,-12.845453007962382
20.715,-17.396,-5.42,"chr f",5100000,-16.67436208138566,-18.34508530265704,-18.504460455775558
20.68,-17.578,-4.483,"chr f",5200000,-13.805663542756616,-4.734423582333278,16.081035613301196
20.129,-18.496,-4.157,"chr f",5300000,15.166234904418374,10.812411297850627,-3.4169159006049945
19.166,-18.618,-4.974,"chr f",5400000,-15.969571170453367,2.0675021434404606,-2.0163675871670677
18.934,-17.752,-5.408,"chr f",5500000,-0.31234855409435625,13.443366898804626,15.143621916272664
16.513,-17.427,-4.452,"chr f",5600000,-0.5584426461342602,12.589578205753881,4.254437047234958
15.529,-17.717,-3.779,"chr f",5700000,18.05970581448547,-12.616056769462102,-16.465987165521582
14.582,-16.896,-3.185,"chr f",5800000,-6.569887279058229,3.7211992815050756,17.540736103454876
14.595,-16.567,-2.539,"chr f",5900000,-15.478611255554394,3.3202693248552535,0.05464497070404306
15.372,-16.82,-2.52,"chr f",6000000,-17.3563406463198,6.181619435954655,13.666252358591457
15.589,-15.862,-3.345,"chr f",6100000,14.917752721462719,-0.0898306782134064,-1.999856569800869
15.687,-15.945,-3.88,"chr f",6200000,-6.624030587749953,9.857821359955654,-14.351674027010738
14.591,-16.319,-4.062,"chr f",6300000,17.01054162377406,-6.219022644843699,-16.226938422253653
14.879,-16.34,-4.514,"chr f",6400000,-15.301593405564784,-5.484963883973766,3.1810842441135705
13.983,-15.962,-4.297,"chr f",6500000,1.2864696738501138,6.939215564727988,6.41945653171075
13.423,-16.825,-3.714,"chr f",6600000,-15.596320709881496,6.431743989711087,6.2749938025148175
14.144,-17.523,-3.248,"chr f",6700000,19.80364726091223,-16.5390587300419,17.546497401615355
14.304,-18.21,-3.134,"chr f",6800000,6.195340958752972,-3.659764385057535,-14.766926219639833
13.644,-18.688,-3.746,"chr f",6900000,-17.873933392995937,7.163236322069654,2.599927066354976
12.909,-18.505,-3.501,"chr f",7000000,0.3956243663584331,-8.18154285506958,16.967308898691186
13.032,-17.458,-4.016,"chr f",7100000,14.974098322209969,8.396738713207618,1.4139933526323958
13.17,-17.172,-4.978,"chr f",7200000,18.43784592014618,14.77264689450385,-13.720207411907474
13.39,-17.62,-5.198,"chr f",7300000,-14.762599765458901,-3.937846553658556,14.629855128091563
